# From 3.22.169.161 in us-east-2c
PING 10.1.0.232 (10.1.0.232) 56(84) bytes of data.
64 bytes from 10.1.0.232: icmp_seq=1 ttl=64 time=1.30 ms
64 bytes from 10.1.0.232: icmp_seq=2 ttl=64 time=1.26 ms
64 bytes from 10.1.0.232: icmp_seq=3 ttl=64 time=1.26 ms
64 bytes from 10.1.0.232: icmp_seq=4 ttl=64 time=1.37 ms
64 bytes from 10.1.0.232: icmp_seq=5 ttl=64 time=1.37 ms
64 bytes from 10.1.0.232: icmp_seq=6 ttl=64 time=1.43 ms
64 bytes from 10.1.0.232: icmp_seq=7 ttl=64 time=1.36 ms
64 bytes from 10.1.0.232: icmp_seq=8 ttl=64 time=1.36 ms
64 bytes from 10.1.0.232: icmp_seq=9 ttl=64 time=1.35 ms
64 bytes from 10.1.0.232: icmp_seq=10 ttl=64 time=1.28 ms
64 bytes from 10.1.0.232: icmp_seq=11 ttl=64 time=1.33 ms
64 bytes from 10.1.0.232: icmp_seq=12 ttl=64 time=1.25 ms
64 bytes from 10.1.0.232: icmp_seq=13 ttl=64 time=1.34 ms
64 bytes from 10.1.0.232: icmp_seq=14 ttl=64 time=1.25 ms
64 bytes from 10.1.0.232: icmp_seq=15 ttl=64 time=1.34 ms
64 bytes from 10.1.0.232: icmp_seq=16 ttl=64 time=1.34 ms
64 bytes from 10.1.0.232: icmp_seq=17 ttl=64 time=1.33 ms
64 bytes from 10.1.0.232: icmp_seq=18 ttl=64 time=1.28 ms
64 bytes from 10.1.0.232: icmp_seq=19 ttl=64 time=1.24 ms
64 bytes from 10.1.0.232: icmp_seq=20 ttl=64 time=1.27 ms
64 bytes from 10.1.0.232: icmp_seq=21 ttl=64 time=1.27 ms
64 bytes from 10.1.0.232: icmp_seq=22 ttl=64 time=1.26 ms
64 bytes from 10.1.0.232: icmp_seq=23 ttl=64 time=1.31 ms
64 bytes from 10.1.0.232: icmp_seq=24 ttl=64 time=1.26 ms
64 bytes from 10.1.0.232: icmp_seq=25 ttl=64 time=1.21 ms
